Points,BigArea,SmallArea
100,0.972214,0.621115
600,1.19906,0.951082
1100,1.05176,0.914027
1600,1.04513,0.953508
2100,1.01388,0.979734
2600,0.975953,0.961533
3100,0.943988,0.945447
3600,0.874992,0.93275
4100,0.962729,0.960076
4600,0.900354,0.922389
5100,0.951244,0.936239
5600,1.01909,0.92266
6100,0.951494,0.976855
6600,0.917711,0.947553
7100,0.928396,0.938233
7600,0.92872,0.917881
8100,0.99982,0.941736
8600,0.974475,0.93122
9100,0.905975,0.892852
9600,0.934743,0.913071
10100,0.939486,0.968185
10600,0.927272,0.929108
11100,0.955572,0.96
11600,0.939527,0.962125
12100,0.911952,0.957338
12600,0.915887,0.938758
13100,0.950691,0.953304
13600,0.972214,0.935097
14100,0.942565,0.948191
14600,0.983534,0.944966
15100,0.95998,0.974605
15600,0.960996,0.940879
16100,0.954098,0.933119
16600,0.910132,0.952719
17100,0.956863,0.953465
17600,0.979395,0.962331
18100,0.92978,0.949902
18600,0.958101,0.953586
19100,0.973741,0.942647
19600,0.931539,0.94712
20100,0.942225,0.951758
20600,0.971742,0.9573
21100,0.935352,0.96166
21600,0.962311,0.934008
22100,0.94054,0.942387
22600,0.937799,0.952112
23100,0.939386,0.944444
23600,0.946672,0.963418
24100,0.941958,0.95229
24600,0.948501,0.932145
25100,0.948973,0.948994
25600,0.926261,0.955934
26100,0.945766,0.947586
26600,0.95467,0.938239
27100,0.913737,0.944134
27600,0.940863,0.946018
28100,0.926198,0.953776
28600,0.946039,0.952168
29100,0.955175,0.952216
29600,0.944952,0.945442
30100,0.945082,0.932704
30600,0.968083,0.954634
31100,0.934388,0.935167
31600,0.93191,0.969754
32100,0.967368,0.941467
32600,0.911077,0.958226
33100,0.952828,0.955128
33600,0.929101,0.927513
34100,0.960524,0.950911
34600,0.952826,0.953326
35100,0.954764,0.946824
35600,0.971394,0.94552
36100,0.933163,0.954684
36600,0.936353,0.963597
37100,0.947843,0.962121
37600,0.916104,0.965949
38100,0.934448,0.94074
38600,0.938463,0.959328
39100,0.915273,0.945174
39600,0.95822,0.951768
40100,0.952818,0.937771
40600,0.967185,0.939703
41100,0.963698,0.948201
41600,0.967539,0.954161
42100,0.942655,0.935729
42600,0.930449,0.936228
43100,0.940859,0.94203
43600,0.935644,0.948856
44100,0.923934,0.947957
44600,0.970688,0.929844
45100,0.922202,0.939677
45600,0.924669,0.931842
46100,0.956397,0.941019
46600,0.942588,0.944167
47100,0.943935,0.947579
47600,0.956691,0.939256
48100,0.941087,0.939581
48600,0.95781,0.951162
49100,0.957561,0.941634
49600,0.949084,0.949595
50100,0.935343,0.942287
50600,0.948389,0.949164
51100,0.963272,0.943675
51600,0.947155,0.945665
52100,0.926869,0.942327
52600,0.944119,0.949753
53100,0.931934,0.942492
53600,0.92578,0.94594
54100,0.944898,0.954203
54600,0.96064,0.952788
55100,0.937807,0.943226
55600,0.946509,0.953735
56100,0.937554,0.931949
56600,0.95246,0.942646
57100,0.940715,0.941938
57600,0.94352,0.947779
58100,0.953807,0.932073
58600,0.926092,0.946643
59100,0.942603,0.942773
59600,0.941873,0.934668
60100,0.946655,0.944719
60600,0.951358,0.948519
61100,0.945482,0.957086
61600,0.946172,0.946418
62100,0.946852,0.952551
62600,0.938978,0.946927
63100,0.935852,0.952158
63600,0.947908,0.942659
64100,0.945216,0.948568
64600,0.96499,0.946094
65100,0.952202,0.955107
65600,0.936941,0.936939
66100,0.934266,0.948997
66600,0.928274,0.941814
67100,0.952364,0.948854
67600,0.935684,0.924436
68100,0.944946,0.943928
68600,0.953081,0.941745
69100,0.951672,0.935604
69600,0.950981,0.945504
70100,0.944337,0.951608
70600,0.926908,0.945198
71100,0.941447,0.94827
71600,0.955105,0.947341
72100,0.930817,0.943032
72600,0.960161,0.939853
73100,0.961973,0.942877
73600,0.941171,0.942537
74100,0.961717,0.946341
74600,0.947452,0.931464
75100,0.962375,0.951728
75600,0.957296,0.948412
76100,0.973108,0.944986
76600,0.946068,0.95093
77100,0.957712,0.945266
77600,0.954047,0.941227
78100,0.957774,0.951902
78600,0.927066,0.945501
79100,0.948984,0.948898
79600,0.950107,0.935525
80100,0.926455,0.942043
80600,0.944109,0.948385
81100,0.949197,0.951728
81600,0.944215,0.942519
82100,0.946517,0.942263
82600,0.951969,0.949249
83100,0.957823,0.93994
83600,0.946629,0.946856
84100,0.953139,0.948612
84600,0.962675,0.948696
85100,0.93794,0.943623
85600,0.938027,0.9431
86100,0.938,0.958048
86600,0.933145,0.943506
87100,0.951341,0.94785
87600,0.945467,0.949442
88100,0.940432,0.94467
88600,0.955535,0.960896
89100,0.937733,0.956898
89600,0.945738,0.953725
90100,0.940058,0.954076
90600,0.945279,0.942984
91100,0.934008,0.932311
91600,0.946528,0.948412
92100,0.931784,0.947857
92600,0.929797,0.945674
93100,0.938066,0.94047
93600,0.927758,0.943575
94100,0.956406,0.940665
94600,0.951968,0.948332
95100,0.940829,0.942652
95600,0.945773,0.93492
96100,0.963311,0.943831
96600,0.940914,0.941437
97100,0.948684,0.952061
97600,0.94482,0.948775
98100,0.931482,0.949321
98600,0.954169,0.938168
99100,0.955438,0.949848
99600,0.935804,0.953654
